,Human Wellbeing,,,,,,,,,Environmental Wellbeing,,,,,,,Economic Wellbeing,,,,,,Human Wellbeing,,,Environm. Wellbeing,,Economic Wellbeing,,,Human Wellbeing,Environmental Wellbeing,Economic Wellbeing
2018,Basic Needs,,,"Personal Dev. &
Health",,,"Well-balanced
Society",,,Natural Resources,,,Climate &Energy,,,,Transition,,Economy,,,,,,,,,,,,,,
,Sufficient Food,Sufficient Drinking Water,Safe Sanitation,Education,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,Biodiversity,Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt,,Basic Needs,Personal Developm. & Health,Well-balanced Society,Natural Resources,Climate & Energy,Transition,Economy,,,,
Status as of 2022-03-10,Indicators,,,,,,,,,,,,,,,,,,,,,,Categories,,,,,,,,Dimensions,,
Afghanistan,8.1,7.3,5.3,8.3,7.7,,,1,2.6,3,6.9,7.7,9.8,1,,2.9,1,,1.4,3.3,9.8,,6.8,8,1.6,5.4,3.1,1,3.5,,4.7,4.1,2.6
Albania,9.9,9.5,9.9,10,9.8,7.6,6.6,8.4,5.5,6.8,9.7,3.7,7.7,1,8.5,4.4,1.1,5.4,5.9,2.9,2.8,,9.8,9,6.7,6.3,4.1,2.5,3.6,,8.4,4.9,3.1
Algeria,10,9.5,8.8,,9.5,6.7,,2.7,4,4.5,1.6,2.2,7.3,5.1,6.7,1,1,9.3,5.5,3.5,8.4,,9.4,8,3.3,2.5,4,3,5.5,,6.6,3.3,4.3
American Samoa,,10,5.9,,,,,8.2,7.3,,,,6,5.2,,1.3,,,,,,,7.7,,7.8,,3.4,,,,7.7,3.4,
Andorra,,10,10,,,,,9.9,8,9.3,,,,,,2.7,1,,,,8.5,,10,,8.9,9.3,2.7,1,8.5,,9.4,5,2.9
Angola,8.8,6.1,5.6,,7.1,6.7,5.5,1,3.9,4.5,10,7.1,9.5,10,9.5,6.1,,2.4,3.8,4.8,1,,6.7,6.9,2.8,6.9,8.6,2.4,2.6,,4.9,7.8,2.6
Antigua and Barbuda,,,,10,9.5,,,5.6,6.3,6,9.2,1,5.1,6.3,,1.1,,,7.6,,1,,,9.8,5.9,3.8,3.3,,2.8,,7.6,3.5,2.8
