# Official results - the 37th PZU Warsaw Marathon (2015)
# Source: https://pzumaratonwarszawski.com/en/aktualnosci/official-results/
sex,country,category,time,net_time,5km,10km,15km,20km,21km,25km,30km,35km,40km
M,KE,M20,02:09:19,02:09:19,00:14:53,,00:46:03,01:01:29,01:04:51,01:16:31,01:32:03,01:47:23,02:02:38
M,KE,M20,02:10:45,02:10:45,00:14:53,00:30:39,00:46:03,01:01:29,01:04:51,01:16:31,01:32:02,01:47:27,02:03:32
M,KE,M20,02:10:58,02:10:58,00:15:01,00:30:52,00:46:14,01:01:30,01:04:52,01:16:39,,01:48:13,02:03:49
M,ET,M20,02:14:10,02:14:10,00:14:54,00:30:39,00:46:03,01:01:29,01:04:51,01:16:40,01:33:34,01:50:20,02:06:59
M,KE,M30,02:14:41,02:14:41,00:14:54,00:30:39,00:46:04,01:01:30,01:04:53,01:17:19,01:33:54,01:50:20,02:07:18
M,KE,M30,02:15:58,02:15:58,00:14:54,00:30:39,,01:01:48,,,01:35:02,01:51:52,02:08:38
M,ET,M20,02:19:53,02:19:53,00:15:02,00:30:39,00:46:04,01:01:29,01:04:52,01:17:05,01:33:34,01:50:23,02:10:05
M,MA,M30,02:23:12,02:23:12,00:15:30,00:31:33,00:47:54,01:04:35,01:08:19,01:21:44,01:39:40,01:57:05,02:15:19
M,PL,M30,02:25:13,02:25:13,00:17:14,00:34:34,00:51:38,01:08:47,01:12:32,01:26:07,01:43:48,,02:17:51
M,PL,M30,02:25:55,02:25:52,00:17:10,00:34:31,,01:08:43,01:12:28,01:26:03,01:43:44,02:00:52,02:18:21
M,IL,M30,02:26:50,02:26:46,00:15:55,00:32:39,00:49:05,01:05:48,01:09:29,01:22:56,01:40:59,01:59:06,02:18:05
M,PL,M30,02:27:48,02:27:45,00:17:27,00:35:13,,01:09:51,01:13:42,01:27:22,01:45:12,02:02:48,02:20:14
