# Official results - the 37th PZU Warsaw Marathon (2015)
# Source: https://pzumaratonwarszawski.com/en/aktualnosci/official-results/
# `mins` gives the gun time in minutes
sex,country,category,mins
M,KE,M20,129.32
M,KE,M20,130.75
M,KE,M20,130.97
M,ET,M20,134.17
M,KE,M30,134.68
M,KE,M30,135.97
M,ET,M20,139.88
M,MA,M30,143.2
M,PL,M30,145.22
M,PL,M30,145.92
M,IL,M30,146.83
M,PL,M30,147.8
F,KE,F30,149.65
M,KE,M20,149.88
M,PL,M20,152.65
M,PL,M30,152.88
M,IL,M30,153.67
F,MD,F20,155.2
F,PL,F20,155.55
F,ET,F20,156.03
M,IL,M20,157.35
F,PL,F20,157.78
M,PL,M20,158.08
M,PL,M20,158.58
M,IL,M30,160.15
M,PL,M30,160.32
F,ET,F30,161.13
M,UA,M50,162.1
F,KE,F30,162.5
M,IL,M30,163.23
M,PL,M30,164.3
M,PL,M30,165.82
M,PL,M40,165.83
M,PL,M40,166.62
M,PL,M30,168.37
M,PL,M30,168.5
M,LT,M30,168.8
M,PL,M40,169.0
M,PL,M20,169.05
M,PL,M20,169.07
M,GR,M30,169.08
M,PL,M30,169.15
M,PL,M30,169.52
M,PL,M20,169.58
M,PL,M30,169.77
M,PL,M20,169.8
M,PL,M40,169.85
M,PL,M30,169.97
M,PL,M20,170.18
M,PL,M30,170.37
M,PL,M30,170.7
M,SE,M40,171.17
M,PL,M30,171.4
M,PL,M40,171.5
M,PL,M40,171.63
M,PL,M20,171.68
M,PL,M30,171.73
M,GB,M30,171.77
M,PL,M40,172.1
M,PL,M30,172.23
M,PL,M50,172.35
M,PL,M40,172.38
M,PL,M40,172.53
M,PL,M20,172.72
M,PL,M30,173.02
M,PL,M30,173.03
M,PL,M40,173.15
M,IL,M40,173.3
M,PL,M40,173.52
M,PL,M40,173.57
M,PL,M20,173.6
M,PL,M30,173.73
M,PL,M40,173.92
M,PL,M40,174.15
M,PL,M30,174.32
M,PL,M30,174.32
