# BTC-USD Exchange Rates for 2022
# Based on https://api.bitcoincharts.com/v1/csv/
Date,Open,High,Low,Close
2022-12-31,16603.673828,16628.986328,16517.519531,16547.496094
2022-12-30,16641.330078,16643.427734,16408.474609,16602.585938
2022-12-29,16552.322266,16651.755859,16508.683594,16642.341797
2022-12-28,16716.400391,16768.169922,16497.556641,16552.572266
2022-12-27,16919.291016,16959.845703,16642.072266,16717.173828
2022-12-26,16842.25,16920.123047,16812.369141,16919.804688
2022-12-25,16847.505859,16860.554688,16755.253906,16841.986328
2022-12-24,16796.976563,16864.703125,16793.527344,16847.755859
2022-12-23,16829.644531,16905.21875,16794.458984,16796.953125
2022-12-22,16818.380859,16866.673828,16592.408203,16830.341797
2022-12-21,16904.527344,16916.800781,16755.912109,16817.535156
2022-12-20,16441.787109,17012.984375,16427.867188,16906.304688
2022-12-19,16759.041016,16807.527344,16398.136719,16439.679688
2022-12-18,16795.609375,16815.386719,16697.820313,16757.976563
2022-12-17,16646.982422,16800.589844,16614.029297,16795.091797
2022-12-16,17364.546875,17505.525391,16584.701172,16647.484375
2022-12-15,17813.644531,17846.744141,17322.589844,17364.865234
2022-12-14,17782.066406,18318.53125,17739.513672,17815.650391
2022-12-13,17206.441406,17930.085938,17111.763672,17781.318359
2022-12-12,17102.5,17212.564453,16899.394531,17206.4375
2022-12-11,17129.710938,17245.634766,17091.820313,17104.193359
2022-12-10,17134.220703,17216.826172,17120.683594,17128.724609
2022-12-09,17232.148438,17280.546875,17100.835938,17133.152344
2022-12-08,16847.349609,17267.916016,16788.783203,17233.474609
2022-12-07,17089.505859,17109.376953,16750.558594,16848.126953
2022-12-06,16975.238281,17091.863281,16939.921875,17089.503906
2022-12-05,17128.894531,17378.152344,16922.431641,16974.826172
2022-12-04,16908.169922,17157.767578,16903.439453,17130.486328
2022-12-03,17090.097656,17116.041016,16888.140625,16908.236328
2022-12-02,16968.683594,17088.660156,16877.880859,17088.660156
2022-12-01,17168.001953,17197.498047,16888.388672,16967.132813
2022-11-30,16445.476563,17190.9375,16445.476563,17168.566406
2022-11-29,16217.639648,16522.257813,16139.396484,16444.982422
2022-11-28,16440.222656,16482.933594,16054.530273,16217.322266
2022-11-27,16463.882813,16594.40625,16437.025391,16444.626953
2022-11-26,16521.576172,16666.863281,16416.228516,16464.28125
2022-11-25,16602.269531,16603.316406,16388.404297,16521.841797
2022-11-24,16611.636719,16771.474609,16501.767578,16604.464844
2022-11-23,16195.588867,16638.193359,16170.50293,16610.707031
2022-11-22,15782.300781,16253.047852,15656.606445,16189.769531
2022-11-21,16291.223633,16291.223633,15599.046875,15787.28418
2022-11-20,16712.919922,16746.779297,16248.692383,16291.832031
2022-11-19,16696.220703,16797.876953,16570.410156,16711.546875
2022-11-18,16687.912109,16947.058594,16564.611328,16697.777344
2022-11-17,16670.425781,16726.439453,16460.683594,16687.517578
2022-11-16,16884.341797,16960.294922,16430.111328,16669.439453
2022-11-15,16617.484375,17051.962891,16542.550781,16884.613281
2022-11-14,16352.02832,17109.324219,15872.941406,16618.199219
