# BTC-USD Exchange Rates for 2021
# Based on https://api.bitcoincharts.com/v1/csv/
Date,Open,High,Low,Close,Volume
2021-01-01,28994.01,29600.627,28803.586,29374.152,40730301359
2021-01-02,29376.455,33155.117,29091.182,32127.268,67865420765
2021-01-03,32129.408,34608.559,32052.316,32782.023,78665235202
2021-01-04,32810.949,33440.219,28722.756,31971.914,81163475344
2021-01-05,31977.041,34437.59,30221.188,33992.43,67547324782
2021-01-06,34013.613,36879.699,33514.035,36824.363,75289433811
2021-01-07,36833.875,40180.367,36491.191,39371.043,84762141031
2021-01-08,39381.766,41946.738,36838.637,40797.609,88107519480
2021-01-09,40788.641,41436.352,38980.875,40254.547,61984162837
2021-01-10,40254.219,41420.191,35984.629,38356.441,79980747690
2021-01-11,38346.531,38346.531,30549.6,35566.656,123320567399
2021-01-12,35516.359,36568.527,32697.977,33922.961,74773277909
2021-01-13,33915.121,37599.961,32584.668,37316.359,69364315979
2021-01-14,37325.109,39966.406,36868.563,39187.328,63615990033
2021-01-15,39156.707,39577.711,34659.59,36825.367,67760757881
2021-01-16,36821.648,37864.367,35633.555,36178.141,57706187875
2021-01-17,36163.648,36722.352,34069.32,35791.277,52359854336
2021-01-18,35792.238,37299.285,34883.844,36630.074,49511702429
2021-01-19,36642.234,37755.891,36069.805,36069.805,57244195486
2021-01-20,36050.113,36378.328,33570.477,35547.75,66834573161
2021-01-21,35549.398,35552.68,30250.75,30825.699,75643067688
2021-01-22,30817.625,33811.852,28953.373,33005.762,77207272511
2021-01-23,32985.758,33360.977,31493.16,32067.643,48354737975
2021-01-24,32064.377,32944.008,31106.686,32289.379,48643830599
2021-01-25,32285.799,34802.742,32087.787,32366.393,59897054838
2021-01-26,32358.613,32794.551,31030.266,32569.85,60255421470
2021-01-27,32564.029,32564.029,29367.139,30432.547,62576762015
2021-01-28,30441.041,33858.313,30023.207,33466.098,76517157706
2021-01-29,34318.672,38406.262,32064.814,34316.387,117894572511
2021-01-30,34295.934,34834.707,32940.188,34269.523,65141828798
2021-01-31,34270.879,34288.332,32270.176,33114.359,52754542671
2021-02-01,33114.578,34638.215,32384.229,33537.176,61400400660
2021-02-02,33533.199,35896.883,33489.219,35510.289,63088585433
2021-02-03,35510.82,37480.188,35443.984,37472.09,61166818159
2021-02-04,37475.105,38592.176,36317.5,36926.066,68838074392
2021-02-05,36931.547,38225.906,36658.762,38144.309,58598066402
2021-02-06,38138.387,40846.547,38138.387,39266.012,71326033653
2021-02-07,39250.191,39621.836,37446.152,38903.441,65500641143
2021-02-08,38886.828,46203.93,38076.324,46196.465,101467222687
2021-02-09,46184.992,48003.723,45166.961,46481.105,91809846886
2021-02-10,46469.762,47145.566,43881.152,44918.184,87301089896
2021-02-11,44898.711,48463.469,44187.762,47909.332,81388911810
2021-02-12,47877.035,48745.734,46424.977,47504.852,76555041196
2021-02-13,47491.203,48047.746,46392.281,47105.516,70250456155
2021-02-14,47114.508,49487.641,47114.508,48717.289,71248675228
2021-02-15,48696.535,48875.57,46347.477,47945.059,77069903166
2021-02-16,47944.457,50341.102,47201.305,49199.871,77049582886
2021-02-17,49207.277,52533.914,49072.379,52149.008,80820545404
2021-02-18,52140.973,52474.105,51015.766,51679.797,52054723579
2021-02-19,51675.98,56113.652,50937.277,55888.133,63495496918
2021-02-20,55887.336,57505.227,54626.559,56099.52,68145460026
2021-02-21,56068.566,58330.57,55672.609,57539.945,51897585191
2021-02-22,57532.738,57533.391,48967.566,54207.32,92052420332
2021-02-23,54204.93,54204.93,45290.59,48824.426,106102492824
2021-02-24,48835.086,51290.137,47213.5,49705.332,63695521388
2021-02-25,49709.082,51948.969,47093.852,47093.852,54506565949
2021-02-26,47180.465,48370.785,44454.844,46339.762,350967941479
2021-02-27,46344.773,48253.27,45269.027,46188.453,45910946382
2021-02-28,46194.016,46716.43,43241.617,45137.77,53443887451
2021-03-01,45159.504,49784.016,45115.094,49631.242,53891300112
2021-03-02,49612.105,50127.512,47228.844,48378.988,47530897720
2021-03-03,48415.816,52535.137,48274.32,50538.242,53220811975
2021-03-04,50522.305,51735.09,47656.93,48561.168,52343816680
2021-03-05,48527.031,49396.43,46542.516,48927.305,48625928883
2021-03-06,48899.23,49147.219,47257.527,48912.383,34363564661
2021-03-07,48918.68,51384.367,48918.68,51206.691,43137459378
2021-03-08,51174.117,52314.07,49506.055,52246.523,48597428048
2021-03-09,52272.969,54824.117,51981.832,54824.117,50912227385
2021-03-10,54824.012,57258.254,53290.891,56008.551,57295577614
2021-03-11,55963.18,58091.063,54484.594,57805.121,56772343595
2021-03-12,57821.219,57996.621,55376.648,57332.09,55689944702
2021-03-13,57343.371,61683.863,56217.973,61243.086,60669829814
2021-03-14,61221.133,61597.918,59302.316,59302.316,43901225564
2021-03-15,59267.43,60540.992,55393.164,55907.199,66419369890
2021-03-16,55840.785,56833.18,53555.027,56804.902,59749798599
2021-03-17,56825.828,58969.816,54528.629,58870.895,60258313191
2021-03-18,58893.078,60116.25,54253.578,57858.922,55746041000
2021-03-19,57850.441,59498.375,56643.703,58346.652,49063873786
2021-03-20,58332.262,60031.285,58213.297,58313.645,50361731222
2021-03-21,58309.914,58767.898,56005.617,57523.422,51943414539
2021-03-22,57517.891,58471.48,54288.156,54529.145,56521454974
2021-03-23,54511.66,55985.441,53470.695,54738.945,56435023914
