# The World Bank's Databank
# Data from database: Education Statistics - All Indicators
# Source: https://databank.worldbank.org/home.aspx
# Last Updated: 04/21/2020
#
# A "wide" version of `edstats_2019.csv` (the most recent indicators).
"CountryName","HD.HCI.AMRT","HD.HCI.AMRT.FE","HD.HCI.AMRT.MA","HD.HCI.EYRS","HD.HCI.EYRS.FE","HD.HCI.EYRS.MA","HD.HCI.HLOS","HD.HCI.HLOS.FE","HD.HCI.HLOS.MA","HD.HCI.MORT","HD.HCI.MORT.FE","HD.HCI.MORT.MA","HD.HCI.OVRL","HD.HCI.OVRL.FE","HD.HCI.OVRL.MA","IT.CMP.PCMP.P2","IT.NET.USER.P2","LO.PISA.MAT","LO.PISA.MAT.FE","LO.PISA.MAT.MA","LO.PISA.REA","LO.PISA.REA.FE","LO.PISA.REA.MA","LO.PISA.SCI","LO.PISA.SCI.FE","LO.PISA.SCI.MA","NY.GDP.MKTP.CD","NY.GDP.PCAP.CD","NY.GDP.PCAP.PP.CD","NY.GNP.PCAP.CD","NY.GNP.PCAP.PP.CD","SE.COM.DURS","SE.PRM.CMPT.FE.ZS","SE.PRM.CMPT.MA.ZS","SE.PRM.CMPT.ZS","SE.PRM.ENRL.TC.ZS","SE.PRM.ENRR","SE.PRM.ENRR.FE","SE.PRM.ENRR.MA","SE.PRM.NENR","SE.PRM.NENR.FE","SE.PRM.NENR.MA","SE.PRM.PRIV.ZS","SE.SEC.ENRL.TC.ZS","SE.SEC.ENRR","SE.SEC.ENRR.FE","SE.SEC.ENRR.MA","SE.SEC.NENR","SE.SEC.NENR.MA","SE.SEC.PRIV.ZS","SE.TER.ENRR","SE.TER.ENRR.FE","SE.TER.ENRR.MA","SE.TER.PRIV.ZS","SE.XPD.TOTL.GD.ZS","SL.TLF.ADVN.FE.ZS","SL.TLF.ADVN.MA.ZS","SL.TLF.ADVN.ZS","SP.POP.TOTL","SP.POP.TOTL.FE.IN","SP.POP.TOTL.MA.IN","SP.PRM.TOTL.FE.IN","SP.PRM.TOTL.IN","SP.PRM.TOTL.MA.IN","SP.SEC.TOTL.FE.IN","SP.SEC.TOTL.IN","SP.SEC.TOTL.MA.IN","UIS.PTRHC.56","UIS.SAP.CE","UIS.SAP.CE.F","UIS.SAP.CE.M","UIS.X.PPP.1.FSGOV","UIS.X.PPP.2T3.FSGOV","UIS.X.PPP.5T8.FSGOV","UIS.X.US.1.FSGOV","UIS.X.US.2T3.FSGOV","UIS.X.US.5T8.FSGOV","UIS.XGDP.1.FSGOV","UIS.XGDP.23.FSGOV","UIS.XGDP.56.FSGOV","UIS.XUNIT.GDPCAP.1.FSGOV","UIS.XUNIT.GDPCAP.23.FSGOV","UIS.XUNIT.GDPCAP.5T8.FSGOV","UIS.XUNIT.PPP.1.FSGOV.FFNTR","UIS.XUNIT.PPP.2T3.FSGOV.FFNTR","UIS.XUNIT.PPP.5T8.FSGOV.FFNTR","UIS.XUNIT.US.1.FSGOV.FFNTR","UIS.XUNIT.US.23.FSGOV.FFNTR","UIS.XUNIT.US.5T8.FSGOV.FFNTR"
"Afghanistan",0.7797,0.8018,0.7597,8.58,6.73,9.21,355,350,358,0.9321,0.9363,0.9282,0.389,0.363,0.395,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,19362969582.3643,520.896602719135,1955.00620775557,550,1970,9,67.1293,103.28326,85.62533,48.78979,103.99616,82.85025,124.22975,NA,NA,NA,5.95128,33.50124,55.42521,39.9984,70.05276,50.1407,62.88953,4.45812,9.68642,4.90508,14.2081,49.81625,4.05887,48.6431007385254,70.1089019775391,64.6766967773438,38042000,18512000,19530000,3106230,6352124,3245894,2752240,5653049,2900809,21.52832,9292896,4540097,4752799,1259.5005,634.26455,337.2507,362.16764,182.3819,103.40219,1.79364,0.90325,0.51942,10.25174,11.3072,42.24158,198.33392,218.75318,801.54496,57.03065,62.90218,259.30262
"Albania",0.9365,0.9503,0.9227,12.99,12.89,13.08,429,445,414,0.9912,0.9919,0.9905,0.621,0.637,0.606,NA,71.8470405,437.221991161354,439.727776830114,434.817394239319,405.429366278381,424.622692893042,387.011105420474,416.726257580122,425.060885708796,408.728198769916,15102500898.238,5268.84850355919,13364.1553966514,4860,13350,9,104.65677,98.85868,101.53786,17.57287,106.99342,109.11123,105.15258,94.52966,93.70449,90.33588,7.7408,11.19927,95.43233,95.70465,95.19122,86.60827,84.32964,8.79378,54.96133,67.57861,43.04797,17.68677,2.46866,72.9300003051758,73.7099990844727,73.3000030517578,2867000,1407000,1460000,74539,159431,84892,125643,269304,143661,14.06519,311126,144476,166650,772.7248,289.23025,252.84704,270.8924,101.3948,88.64002,2.07978,0.77846,0.68053,34.18148,7.97805,13.78559,4419.71217,1031.57256,1782.49585,1549.40857,361.63608,624.88557
"Algeria",0.907,0.9182,0.896,11.42,11.84,11.01,374,383,366,0.976,0.9775,0.9745,0.523,0.545,0.504,NA,59.57968476,359.6062,363.072479076874,356.495105666181,349.8593,366.208166798086,335.185435908668,375.7451,383.220938935314,369.035233788056,173757952824.25,4114.71506136896,15481.7876195754,3920,14970,10,105.62508,104.68193,105.14396,24.32018,109.88282,107.30229,112.35955,97.63517,NA,NA,1.27619,NA,99.61435,101.54452,97.75898,NA,NA,0.2714,51.36567,64.42081,38.8317,0,NA,NA,NA,NA,43053000,21303000,21750000,2060626,4208050,2147424,2117422,4322457,2205035,27.2934,7067878,3461891,3605987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.36e+08,11466.6907058505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.56746703,NA,NA,NA,NA,NA,NA,NA,NA,NA,3236543909.34844,42029.7627372989,NA,NA,NA,10,NA,NA,NA,10.49757,NA,NA,NA,NA,NA,NA,2.28902,8.01599,NA,NA,NA,NA,NA,3.05783,NA,NA,NA,10.0159,3.22691,NA,NA,NA,77000,NA,NA,NA,NA,NA,NA,NA,NA,4.42958,NA,NA,NA,NA,NA,NA,22.37155,26.43051,5.89155,0.69122,0.81663,0.18203,12.30702,13.93424,22.28547,NA,NA,NA,5172.61224,5856.52744,9366.52979
"Angola",0.7638,0.8,0.7266,7.89,7.07,8.69,326,325,327,0.9189,0.9251,0.9131,0.361,0.358,0.365,NA,14.33907936,NA,NA,NA,NA,NA,NA,NA,NA,NA,105750987618.63,3432.38573600893,6452.35516529031,3370,6170,6,33.54657,59.00897,46.18715,50.02951,113.47796,105.88815,121.13591,78.02393,67.27698,88.90347,14.11856,26.76619,50.67148,39.74183,61.77439,11.29064,12.52422,21.46779,9.33626,8.45325,10.23823,55.12878,3.42132,88.1939010620117,89.7556991577148,89.1063003540039,31825000,16081000,15745000,2845253,5698765,2853512,2282105,4532748,2250643,25.5239,5698765,2845253,2853512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,1610574074.07407,16726.9808079479,26868.1335238429,15890,25490,11,98.9645,93.49711,96.19883,12.40564,105.02127,104.59891,105.43367,95.69547,94.76904,93.6328,48.76025,9.29704,111.19604,109.0701,113.27731,88.78981,87.87115,17.97352,24.83026,34.28886,15.26888,43.13616,NA,NA,NA,NA,97000,50000,47000,4801,9727,4926,3449,6970,3521,8.18265,15243,7535,7708,NA,16.53661,NA,NA,10.60458,NA,NA,0.92856,NA,NA,9.80909,NA,NA,1957.22673,NA,NA,1255.12894,NA
"Arab World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8686015566291,NA,NA,NA,NA,NA,NA,NA,NA,NA,2853079422136.26,7715.99867662883,16052.5465299988,7196.53273639369,16141.5602516837,NA,83.33913,86.52134,84.96593,20.78495,95.66943,92.9635,98.25438,84.05164,82.10073,85.91534,9.87196,14.49976,72.33986,69.82211,74.74961,63.51428,65.6165,9.82461,32.21509,33.93819,30.58612,NA,NA,NA,NA,NA,369761523,178464450,191297073,24821889,50805379,25983490,22371564,45745802,23374238,NA,73737021,35997720,37739301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",0.889,0.9269,0.8511,13.07,13.32,12.83,424,421,427,0.9896,0.9906,0.9887,0.611,0.632,0.59,NA,74.29490687,379.453816602929,371.848368383667,387.279359567793,401.503108807317,409.414080880782,393.363200406132,404.071444821693,399.231010217297,409.051957195621,519871519807.795,11683.9496216363,20610.5685495282,12390,19870,14,99.69321,100.22279,99.96276,NA,109.74146,109.62778,109.85108,99.184,NA,NA,26.65361,NA,108.7336,111.03346,106.51183,90.79605,88.61459,26.8304,89.95852,112.79844,67.77473,24.24689,5.46223,75.388298034668,86.043701171875,79.5768966674805,44901000,23001000,21900000,2151543,4383292,2231749,2096955,4268654,2171699,NA,10102450,4960802,5141648,14840.23257,19827.07204,11072.21015,10389.34103,13880.52459,7751.42618,1.61653,2.15973,1.20608,14.97726,20.6226,16.91251,3121.73384,4298.4003,3525.10047,2185.46154,3009.22148,2467.8502
"Armenia",0.8815,0.9268,0.828,11.09,11.27,10.92,443,448,439,0.9874,0.9888,0.986,0.572,0.593,0.551,NA,64.74488433,NA,NA,NA,NA,NA,NA,NA,NA,NA,12433089919.0459,4212.07094272937,10343.1755901515,4230,10480,12,89.51942,90.19305,89.87896,15.41859,92.71525,92.6959,92.73222,90.72273,90.5458,90.87785,2.30877,8.01689,83.15068,84.80038,81.72561,87.74122,87.45784,2.47294,54.57048,62.64839,47.1191,10.29147,2.70759,65.7264022827148,84.2189025878906,73.609001159668,2958000,1566000,1391000,78611,168119,89508,133762,287921,154159,6.92216,448068,208276,239792,148.61423,359.56426,99.66491,60.46789,146.29886,40.55148,0.52456,1.26913,0.35178,10.15365,14.57604,9.88124,976.86399,1225.12659,950.65638,397.46466,581.03457,386.80135
