# Euro foreign exchange reference rates
# Source: https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html
# Available free of charge
# Date == days since the UNIX epoch, i.e., 1970-01-01
"Date","USD","JPY","BGN","CYP","CZK","DKK","EEK","GBP","HUF","LTL","LVL","MTL","PLN","ROL","RON","SEK","SIT","SKK","CHF","ISK","NOK","HRK","RUB","TRL","TRY","AUD","BRL","CAD","CNY","HKD","IDR","ILS","INR","KRW","MXN","MYR","NZD","PHP","SGD","THB","ZAR"
19390,1.0988,141.12,1.9558,NA,23.809,7.4393,NA,0.89289,387.2,NA,NA,NA,4.7015,NA,4.9025,11.3587,NA,NA,0.9992,153.5,10.9535,NA,NA,NA,20.6766,1.5407,5.4859,1.4602,7.3878,8.6183,16360.69,3.7577,90.3015,1345.9,20.405,4.6655,1.6855,59.17,1.4352,36.03,18.7046
19389,1.0894,141.37,1.9558,NA,23.775,7.4396,NA,0.88413,390.2,NA,NA,NA,4.7075,NA,4.9117,11.3455,NA,NA,0.998,153.5,10.8569,NA,NA,NA,20.4978,1.5392,5.5174,1.4506,7.3452,8.5444,16299.47,3.769,89.106,1339.22,20.4919,4.6471,1.6903,59.318,1.4303,35.841,18.8328
19388,1.0833,141.27,1.9558,NA,23.792,7.4388,NA,0.88073,390.91,NA,NA,NA,4.709,NA,4.921,11.348,NA,NA,1.0032,153.1,10.9083,NA,NA,NA,20.3787,1.5476,5.5373,1.457,7.3198,8.4898,16282.57,3.7675,88.636,1338.9,20.3961,4.6211,1.6858,59.192,1.4268,35.787,18.9223
19387,1.0903,141.79,1.9558,NA,23.861,7.4383,NA,0.87978,390.53,NA,NA,NA,4.7103,NA,4.9055,11.262,NA,NA,1.0045,153.3,10.7925,NA,NA,NA,20.5063,1.539,5.5654,1.4532,7.3601,8.5415,16335.28,3.7786,88.8885,1338.87,20.487,4.6272,1.6778,59.47,1.431,35.68,18.889
19384,1.0865,141.1,1.9558,NA,23.826,7.4378,NA,0.87885,388.85,NA,NA,NA,4.7085,NA,4.8965,11.2108,NA,NA,1.0017,154.9,10.76,NA,NA,NA,20.4365,1.5289,5.5104,1.4479,7.369,8.5061,16281.15,3.7353,88.672,1341.37,20.3678,4.6116,1.6759,59.187,1.4277,35.702,18.7185
19383,1.0895,141.38,1.9558,NA,23.818,7.4383,NA,0.87945,387.38,NA,NA,NA,4.7195,NA,4.8818,11.1763,NA,NA,1.0002,156.5,10.762,NA,NA,NA,20.4961,1.5308,5.5572,1.4568,7.3893,8.5295,16298.97,3.7091,88.8255,1342.51,20.5275,4.6255,1.6799,59.301,1.4292,35.687,18.6127
19382,1.0878,141.17,1.9558,NA,23.808,7.4381,NA,0.88248,388.75,NA,NA,NA,4.7158,NA,4.9035,11.1335,NA,NA,1.002,157.1,10.7896,NA,NA,NA,20.4658,1.536,5.569,1.4544,7.3778,8.5202,16278.93,3.6651,88.7258,1343.93,20.436,4.6357,1.6792,59.35,1.4307,35.718,18.6745
19381,1.0858,141.47,1.9558,NA,23.874,7.4399,NA,0.88368,397.33,NA,NA,NA,4.713,NA,4.9171,11.0995,NA,NA,1.0053,156.1,10.7193,NA,NA,NA,20.4234,1.547,5.6164,1.4517,7.3642,8.5014,16259.05,3.6671,88.6235,1341.6,20.4603,4.6448,1.6743,59.122,1.4337,35.609,18.7687
19380,1.0871,141.65,1.9558,NA,23.881,7.4393,NA,0.8797,395.98,NA,NA,NA,4.7113,NA,4.9202,11.1183,NA,NA,1.0013,154.7,10.6835,NA,NA,NA,20.4478,1.5529,5.6372,1.4523,7.373,8.5105,16314.27,3.6709,88.452,1335.67,20.4428,4.6588,1.6778,59.345,1.4328,35.63,18.6597
19377,1.0826,140.86,1.9558,NA,23.922,7.4391,NA,0.876,395.88,NA,NA,NA,4.71,NA,4.9258,11.1655,NA,NA,0.9962,154.3,10.7135,NA,NA,NA,20.3566,1.5619,5.6271,1.4583,7.3425,8.4775,16367.67,3.6839,87.817,1336.47,20.4865,4.6395,1.6852,58.958,1.4311,35.455,18.577
19376,1.0815,139.02,1.9558,NA,23.924,7.4398,NA,0.87648,396.43,NA,NA,NA,4.7063,NA,4.9265,11.1533,NA,NA,0.9921,154.5,10.746,NA,NA,NA,20.3295,1.5726,5.6326,1.4603,7.3424,8.4696,16429.66,3.6952,88.046,1340.52,20.5437,4.6591,1.6978,59.099,1.4326,35.803,18.6931
19375,1.0839,139.79,1.9558,NA,23.954,7.4399,NA,0.8753,396.15,NA,NA,NA,4.6983,NA,4.9388,11.1735,NA,NA,0.9906,154.5,10.6553,NA,NA,NA,20.3706,1.5413,5.5252,1.4505,7.3193,8.4814,16307.2,3.6524,88.142,1337.16,20.2193,4.6754,1.6683,59.17,1.428,35.633,18.396
