# Countries and the Corresponding Regions
#
# The UN M49 Code for Taiwan was not available.
#
# Source:
# https://en.wikipedia.org/wiki/List_of_countries_by_United_Nations_geoscheme
# Last updated: 2022-05-23
"Country","Subsubregion","Subregion","Region","Code"
"Albania",,"Southern Europe","Europe","008 < 039 < 150 < 001"
"Algeria",,"Northern Africa","Africa","012 < 015 < 002 < 001"
"Angola","Middle Africa","Sub-Saharan Africa","Africa","024 < 017 < 202 < 002 < 001"
"Argentina","South America","Latin America and the Caribbean","Americas","032 < 005 < 419 < 019 < 001"
"Armenia",,"Western Asia","Asia","051 < 145 < 142 < 001"
"Australia",,"Australia and New Zealand","Oceania","036 < 053 < 009 < 001"
"Austria",,"Western Europe","Europe","040 < 155 < 150 < 001"
"Azerbaijan",,"Western Asia","Asia","031 < 145 < 142 < 001"
"Bangladesh",,"Southern Asia","Asia","050 < 034 < 142 < 001"
"Belarus",,"Eastern Europe","Europe","112 < 151 < 150 < 001"
"Belgium",,"Western Europe","Europe","056 < 155 < 150 < 001"
"Benin","Western Africa","Sub-Saharan Africa","Africa","204 < 011 < 202 < 002 < 001"
"Bhutan",,"Southern Asia","Asia","064 < 034 < 142 < 001"
"Bolivia","South America","Latin America and the Caribbean","Americas","068 < 005 < 419 < 019 < 001"
"Bosnia-Herzegovina",,"Southern Europe","Europe","070 < 039 < 150 < 001"
"Botswana","Southern Africa","Sub-Saharan Africa","Africa","072 < 018 < 202 < 002 < 001"
"Brazil","South America","Latin America and the Caribbean","Americas","076 < 005 < 419 < 019 < 001"
"Bulgaria",,"Eastern Europe","Europe","100 < 151 < 150 < 001"
"Burkina Faso","Western Africa","Sub-Saharan Africa","Africa","854 < 011 < 202 < 002 < 001"
"Burundi","Eastern Africa","Sub-Saharan Africa","Africa","108 < 014 < 202 < 002 < 001"
"Cambodia",,"South-eastern Asia","Asia","116 < 035 < 142 < 001"
"Cameroon","Middle Africa","Sub-Saharan Africa","Africa","120 < 017 < 202 < 002 < 001"
"Canada","Northern America","North America","Americas","124 < 021 < 003 < 019 < 001"
"Central African Republic","Middle Africa","Sub-Saharan Africa","Africa","140 < 017 < 202 < 002 < 001"
"Chad","Middle Africa","Sub-Saharan Africa","Africa","148 < 017 < 202 < 002 < 001"
"Chile","South America","Latin America and the Caribbean","Americas","152 < 005 < 419 < 019 < 001"
"China",,"Eastern Asia","Asia","156 < 030 < 142 < 001"
"Colombia","South America","Latin America and the Caribbean","Americas","170 < 005 < 419 < 019 < 001"
"Congo","Middle Africa","Sub-Saharan Africa","Africa","178 < 017 < 202 < 002 < 001"
"Congo Democratic Rep.","Middle Africa","Sub-Saharan Africa","Africa","180 < 017 < 202 < 002 < 001"
"Costa Rica","Central America","Latin America and the Caribbean / North America","Americas","188 < 013 < 419 / 003 < 019 < 001"
"Cote d'Ivoire","Western Africa","Sub-Saharan Africa","Africa","384 < 011 < 202 < 002 < 001"
"Croatia",,"Southern Europe","Europe","191 < 039 < 150 < 001"
"Cuba","Caribbean","Latin America and the Caribbean / North America","Americas","192 < 029 < 419 / 003 < 019 < 001"
"Cyprus",,"Western Asia","Asia","196 < 145 < 142 < 001"
"Czech Republic",,"Eastern Europe","Europe","203 < 151 < 150 < 001"
"Denmark",,"Northern Europe","Europe","208 < 154 < 150 < 001"
"Dominican Republic","Caribbean","Latin America and the Caribbean / North America","Americas","214 < 029 < 419 / 003 < 019 < 001"
"Ecuador","South America","Latin America and the Caribbean","Americas","218 < 005 < 419 < 019 < 001"
"Egypt",,"Northern Africa","Africa","818 < 015 < 002 < 001"
"El Salvador","Central America","Latin America and the Caribbean / North America","Americas","222 < 013 < 419 / 003 < 019 < 001"
"Estonia",,"Northern Europe","Europe","233 < 154 < 150 < 001"
"Ethiopia","Eastern Africa","Sub-Saharan Africa","Africa","231 < 014 < 202 < 002 < 001"
"Finland",,"Northern Europe","Europe","246 < 154 < 150 < 001"
"France",,"Western Europe","Europe","250 < 155 < 150 < 001"
"Gabon","Middle Africa","Sub-Saharan Africa","Africa","266 < 017 < 202 < 002 < 001"
"Gambia","Western Africa","Sub-Saharan Africa","Africa","270 < 011 < 202 < 002 < 001"
"Georgia",,"Western Asia","Asia","268 < 145 < 142 < 001"
"Germany",,"Western Europe","Europe","276 < 155 < 150 < 001"
"Ghana","Western Africa","Sub-Saharan Africa","Africa","288 < 011 < 202 < 002 < 001"
"Greece",,"Southern Europe","Europe","300 < 039 < 150 < 001"
"Guatemala","Central America","Latin America and the Caribbean / North America","Americas","320 < 013 < 419 / 003 < 019 < 001"
"Guinea","Western Africa","Sub-Saharan Africa","Africa","324 < 011 < 202 < 002 < 001"
"Guinea-Bissau","Western Africa","Sub-Saharan Africa","Africa","624 < 011 < 202 < 002 < 001"
"Guyana","South America","Latin America and the Caribbean","Americas","328 < 005 < 419 < 019 < 001"
"Haiti","Caribbean","Latin America and the Caribbean / North America","Americas","332 < 029 < 419 / 003 < 019 < 001"
"Honduras","Central America","Latin America and the Caribbean / North America","Americas","340 < 013 < 419 / 003 < 019 < 001"
