# ClinCalc DrugStats Database version 2021.10
# Source: https://clincalc.com/DrugStats/Top300Drugs.aspx
# Based on: Medical Expenditure Panel Survey (MEPS) 2013-2019.
# Agency for Healthcare Research and Quality (AHRQ), Rockville, MD.
# https://meps.ahrq.gov/mepsweb/about_meps/survey_back.jsp
# Licensed under CC BY-SA 4.0
drug,prescriptions,patients
Atorvastatin,112104359,24493971
Levothyroxine,102595103,19698087
Lisinopril,91862708,19990170
Metformin,85739443,17430765
Metoprolol,74578817,15177787
Amlodipine,73542114,16419181
Albuterol,60679987,19085418
Omeprazole,52546641,12869290
Losartan,51773869,11760646
Gabapentin,47149505,9818634
Hydrochlorothiazide,38609803,9358879
Sertraline,37157933,7723122
Simvastatin,36812966,8543612
Montelukast,32154358,7429725
Acetaminophen; Hydrocodone,30355778,10409764
Pantoprazole,28880217,6777996
Furosemide,28352226,6640042
Fluticasone,27893102,9564147
Escitalopram,27510958,6016820
Fluoxetine,27110302,5143421
Rosuvastatin,27041319,6129254
Bupropion,25722873,5520278
Amoxicillin,25702634,20368921
Dextroamphetamine; Dextroamphetamine Saccharate; Amphetamine; Amphetamine Aspartate,24600698,3576687
Trazodone,23934213,5066449
Duloxetine,23821965,4296613
Prednisone,22889929,10999246
Tamsulosin,21934065,5309654
Ibuprofen,21746702,10951995
Citalopram,21546700,4050776
Meloxicam,21459849,6484210
Pravastatin,20683277,4875694
Carvedilol,20602256,4553133
Potassium,20001670,4589222
Tramadol,19838715,5496843
Clopidogrel,19447746,4256662
Insulin Glargine,19211653,3708654
Aspirin,18143138,4646616
Atenolol,18091488,3788125
Venlafaxine,17713653,3035802
Alprazolam,17533262,3925013
Ethinyl Estradiol; Norethindrone,16505642,3462531
Allopurinol,15900788,3637367
Hydrochlorothiazide; Lisinopril,15709833,3277894
Cyclobenzaprine,15597385,5379870
Clonazepam,15578495,2347398
Zolpidem,15419648,3013103
Azithromycin,15300433,11577286
Oxycodone,14669103,4730687
Warfarin,14632370,2789155
Methylphenidate,14233405,2173470
Apixaban,14042889,3037557
Ranitidine,13586751,3781812
Glipizide,13424610,2939354
Ergocalciferol,13273652,4124239
Quetiapine,13114560,1966742
