# The World Factbook Country Data <= 2020 [subset, NAs omitted]
# https://www.cia.gov/library/publications/the-world-factbook/docs/rankorderguide.html
# Data downloaded
# The World Factbook is in the public domain and may be used freely by anyone at anytime without seeking permission.
# Scraped and compiled by Marek Gagolewski (https://www.gagolewski.com) on 3 April 2020
"gdp_per_capita_ppp","life_expectancy_at_birth"
2000,52.8
12500,79
15200,77.5
11200,74.8
49900,83
6800,61.3
12200,81.8
26400,77.3
20900,77.8
9500,75.6
37500,77.5
50400,82.7
50000,81.9
17500,73.6
32400,73.3
49000,79.4
4200,74.2
18600,76
18900,73.8
46600,81.4
8300,75.3
2300,61.4
99400,81.7
9000,72.1
7600,70.4
12800,77.5
17000,64.8
15600,74.7
34200,79.2
78900,77.9
21800,75
1900,62.7
6300,69.3
700,66.7
7000,73.2
4000,65.9
3700,62.3
48400,83.4
43800,81.6
700,54.2
2300,58.3
24600,79.4
18200,76.1
14400,76.6
1600,65.7
800,61
6800,61.3
16700,76.6
16900,79.2
3900,61.3
24700,76.7
12300,79.2
15000,79
37200,79.3
35500,79.3
50100,81.2
3600,64.7
11000,77.7
17000,72
11500,77.5
12700,73.7
8000,74.8
37400,65.7
1600,66.2
31700,77.4
10100,58.6
2200,67.5
40000,80.8
9800,73.7
44500,81.3
44100,82.2
17000,77.9
18100,69
2600,65.8
10700,77
50800,81.1
4700,68.2
61700,80
27800,81.1
41800,73.4
15100,75.2
35600,77
8200,72.4
52500,82.8
2200,63.2
1900,62.8
8100,69.5
1800,65.3
5600,74.6
64500,83.2
29600,76.7
52200,83.3
7200,69.7
12400,73.7
20100,74.5
16700,72.6
73200,81.2
84600,81.6
36400,83
38200,82.5
9200,75.2
42900,86
56600,82.2
9200,75.5
26300,72
3500,69
2000,67.5
1700,71.6
39500,82.6
10900,72.7
65800,78.6
3700,71.8
7400,65.7
27700,75.4
19600,78.3
3300,53
1300,64.7
9600,76.7
139100,82.2
32400,75.5
105100,82.6
122000,84.6
14900,76.3
1600,67.3
1200,63.2
29100,75.9
19200,76.4
2200,61.6
41900,82.8
3600,74.1
4500,64.5
22300,76.5
19900,76.7
3400,73.9
6700,71.9
115700,89.3
13700,70.8
17800,77.3
34000,75.3
8600,73.3
1300,55.9
11200,65.3
12300,68.4
2700,71.8
53900,81.7
31100,78.4
39000,82.1
5900,74.2
1200,59.3
5900,60.4
24500,76.1
72100,82.1
46000,76.3
5400,69.2
14700,74.1
25400,79.2
3700,67.8
12800,77.9
13500,74.7
8400,70
29600,78.3
30500,81.1
39400,81.3
124100,79.4
24600,76
27900,71.9
2100,65.1
7800,80
28200,76.6
14400,78.5
19300,80.2
46200,81
11500,76.2
5700,74.7
59000,83.5
3200,66.3
54500,76.2
3500,63.2
15100,76.3
29300,75.6
1600,59.8
94100,86
66800,78.8
33100,77.8
34500,81.4
2200,76.2
13600,64.8
1600,55.5
38400,82
12900,77.5
4300,66.5
14900,73.3
51200,82.4
62100,82.8
2900,73.7
50500,80.6
3200,69
3200,63.9
17900,75.6
6000,69.3
1700,66.6
5900,77
31300,73.9
11900,76.3
27000,75.7
18200,71.3
29100,80.3
3800,67.9
2400,68.2
8800,72.9
68600,79
44300,81.1
59800,80.3
22400,77.9
6900,74.8
2700,74.6
12500,71
6900,74.4
37000,79.8
3800,80.2
4300,75.9
2500,64.5
2500,66.9
4000,53.6
2300,62.3
