# glaciers              package:nasaweather              R Documentation
#
# Glacier locations
#
# Description:
#
#      Downloaded by Dianne Cook.
#
# Format:
#
#      id A 12/13-character unique glacier identifier
#
#      name 30-character name of the glacier.
#
#      lat,long Location of the glacier: "The point on the glacier whose
#           coordinates are given should be in the upper part of the
#           ablation area, in the main stream and sufficiently high so as
#           not to be lost if the glacier retreats"
#
#      area The total area of the glacier in a horizontal projection in
#           square kilometres, up to 6 digits.
#
#      country 2-character abbreviation for the name of the country or
#           territory in which the glacier is located. These codes are
#           ISO3166 country codes
#
# Source:
#
#      <URL: http://nsidc.org/data/glacier_inventory/>
#
#
#    Hadley Wickham's nasaweather-0.1 package,
# see https://cran.r-project.org/package=nasaweather
#
#  License: GPL-3
"id","name","lat","long","area","country"
"CO1A0101001","RAMIREZ E 4",10.81666667,-73.56666667," NA","CO"
"CO1A0101002","RAMIREZ E 3",10.81666667,-73.56666667," NA","CO"
"CO1A0101003","RAMIREZ E 2",10.81666667,-73.56666667," NA","CO"
"CO1A0101004","RAMIREZ E 1",10.81666667,-73.56666667,"0.03","CO"
"CO1A0101005","RAMIREZ 5 N",10.81666667,-73.56666667,"0.1","CO"
"CO1A0101007","RAMIREZ 3 N",10.81666667,-73.56666667,"0.03","CO"
"CO1A0101008","RAMIREZ 2 N",10.81666667,-73.58333333,"0.04","CO"
"CO1A0101009","RAMIREZ 1 N",10.81666667,-73.58333333,"0.03","CO"
"CO1A0101010","REINA NINA",10.81666667,-73.58333333,"0.01","CO"
"CO1A0101011","REINA 7",10.81666667,-73.6," NA","CO"
"CO1A0101012","REINA B",10.81666667,-73.61666667,"0.85","CO"
"CO1A0101014","OJEDA S 3",10.81666667,-73.61666667,"0.04","CO"
"CO1A0101015","OJEDA S 4",10.81666667,-73.61666667,"0.09","CO"
"CO1A0101016","OJEDA S 2",10.81666667,-73.61666667,"0.01","CO"
"CO1A0101017","NUEVO 1",10.83333333,-73.58333333,"0.06","CO"
"CO1A0101018","NUEVO 2",10.83333333,-73.58333333,"0.02","CO"
"CO1A0101019","NUEVO 3",10.83333333,-73.58333333,"0.04","CO"
"CO1A0101020","NUEVO 4",10.83333333,-73.58333333,"0.02","CO"
"CO1A0101021","CORAL 1",10.83333333,-73.61666667,"0.07","CO"
