# Data source: http://archive.ics.uci.edu/ml/datasets/Wine+Quality
# See also: P. Cortez, A. Cerdeira, F. Almeida, T. Matos and J. Reis.
# Modeling wine preferences by data mining from physicochemical properties,
# Decision Support Systems 47(4), s. 547-553, 2009.
#
# This is a very-non-random sample of the original dataset.
"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","response","color"
7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,4,"red"
8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,3,"red"
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,3,"red"
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,3,"red"
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,2,"red"
8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,3,"red"
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,4,"red"
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,3,"red"
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,3,"red"
8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,4,"red"
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,4,"red"
8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,4,"red"
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,5,"red"
8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,4,"red"
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,5,"red"
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,3,"red"
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,4,"red"
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,4,"red"
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,3,"red"
7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,3,"red"
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,5,"red"
10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,3,"red"
9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,4,"red"
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,3,"red"
9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,3,"red"
10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,5,"red"
7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,4,"red"
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,2,"red"
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,4,"red"
6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,3,"red"
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,3,"red"
7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,4,"red"
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,4,"red"
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,3,"red"
8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,4,"red"
