"chlorides","density","volatile.acidity","bad"
0.056,0.9968,0.4,1
0.04,0.99062,0.18,0
0.05,0.9983,0.24,0
0.022,0.98915,0.42,0
0.021,0.99021,0.25,0
0.025,0.99071,0.3,0
0.053,0.9986,0.19,0
0.031,0.99098,0.34,1
0.044,0.99044,0.27,1
0.024,0.98984,0.27,0
0.037,0.9923,0.21,0
0.029,0.996,0.42,0
0.051,0.9957,0.45,0
0.039,0.9938,0.3,0
0.052,0.9994,0.93,1
0.041,0.9953,0.34,1
0.043,0.9932,0.16,0
0.028,0.99203,0.2,0
0.044,0.9895,0.29,0
0.044,1.0003,0.22,0
0.068,0.99138,0.345,1
0.05,0.9999,0.32,1
0.044,0.9974,0.39,0
0.034,0.99144,0.27,0
0.031,0.9926,0.31,0
0.038,1,0.59,1
0.02,0.98918,0.58,0
0.036,0.98853,0.18,0
0.037,0.9928,0.31,0
0.057,0.99425,0.14,0
0.056,0.9967,0.29,1
0.032,0.99114,0.33,0
0.044,0.99976,0.25,1
0.031,0.9944,0.31,1
0.038,0.9918,0.18,0
0.049,0.99748,0.48,1
0.056,0.99594,0.43,1
0.044,0.99975,0.23,0
0.069,0.999,0.25,1
0.029,0.9898,0.29,0
0.049,0.9936,0.34,1
0.046,0.9955,0.25,0
0.06,0.9924,0.29,1
0.04,0.98934,0.26,0
0.044,0.9904,0.19,0
0.05,0.9984,0.16,0
0.066,0.9979,0.24,0
0.062,0.9966,0.25,0
0.039,0.9969,0.26,0
0.039,0.99362,0.25,1
0.084,0.99516,0.27,1
0.047,0.99383,0.18,1
0.044,0.998,0.16,0
0.039,0.9904,0.28,0
0.054,0.99392,0.46,0
0.058,0.996,0.28,1
0.033,0.99472,0.36,0
0.108,0.9938,0.55,1
0.039,0.99745,0.28,1
0.055,0.99534,0.23,0
0.04,0.9927,0.24,0
0.039,0.9936,0.25,0
0.057,1.00055,0.24,1
0.029,0.99326,0.22,0
0.057,0.99568,0.37,1
0.055,0.993,0.15,0
0.032,0.99036,0.615,1
0.039,0.9898,0.19,0
0.036,0.99362,0.3,0
0.06,0.99317,0.2,1
0.032,0.9907,0.28,0
0.038,0.99546,0.19,0
0.044,0.9914,0.12,0
0.048,0.99282,0.27,0
0.042,0.99373,0.34,1
0.056,0.99594,0.43,1
0.17,0.9946,0.3,1
0.055,0.99532,0.19,0
0.052,0.99388,0.17,0
0.06,0.99784,0.25,0
0.036,0.99269,0.55,0
0.033,0.98894,0.37,0
0.029,0.99114,0.18,0
0.056,0.9955,0.28,0
0.05,0.99495,0.42,0
0.038,0.9912,0.3,0
0.173,0.99334,0.27,0
0.049,0.996,0.18,1
0.049,0.9922,0.2,0
0.034,0.992,0.4,0
0.041,0.9943,0.34,1
0.038,0.9928,0.14,0
0.035,0.9965,0.22,0
0.044,1.00013,0.31,1
0.034,0.9977,0.26,1
0.024,0.98935,0.25,0
0.031,0.99692,0.32,0
0.061,0.9942,0.18,1
0.041,0.99508,0.22,0
0.04,0.9913,0.33,0
0.034,0.99088,0.27,0
0.046,0.99184,0.21,1
0.069,0.99692,0.35,1
0.047,0.99283,0.19,0
0.034,0.9906,0.37,0
0.05,0.9972,0.6,1
0.04,0.9933,0.16,0
0.047,0.99896,0.28,0
0.042,0.9926,0.24,1
0.029,0.9906,0.38,0
0.033,0.99332,0.19,1
0.053,0.9986,0.19,0
0.061,0.99824,0.305,1
0.034,0.99151,0.36,0
0.051,0.9932,0.35,1
0.033,0.99316,0.24,0
0.039,0.9927,0.45,1
0.049,0.9971,0.3,0
0.041,0.9981,0.28,0
0.048,0.9946,0.11,0
0.036,0.99032,0.235,1
0.059,0.99773,0.26,1
0.039,0.9918,0.32,0
0.048,0.99784,0.38,0
0.028,0.9902,0.37,0
0.058,0.99755,0.23,0
0.038,0.99801,0.17,1
0.049,0.99224,0.17,0
0.032,0.99036,0.64,0
0.04,0.99411,0.25,0
0.044,0.9978,0.36,1
0.036,0.99111,0.16,1
0.171,0.99562,0.26,0
0.046,0.9902,0.24,0
0.063,0.9914,0.41,0
0.035,0.9911,0.14,0
0.056,0.99718,0.44,1
0.046,0.9936,0.28,1
0.035,0.989465,0.26,0
0.038,0.9911,0.33,0
0.024,0.99084,0.23,0
0.054,0.9952,0.31,1
0.032,0.99286,0.54,1
0.035,0.99096,0.15,0
0.031,0.9917,0.26,1
0.022,0.9899,0.29,0
0.04,0.99672,0.22,1
0.046,0.99518,0.16,0
0.037,0.99592,0.33,0
0.105,0.99692,0.34,1
0.035,0.9927,0.18,0
0.043,0.99084,0.3,0
0.047,0.99252,0.25,0
0.05,0.997,0.24,1
0.049,0.99297,0.35,0
0.053,0.99805,0.21,1
0.041,0.99505,0.27,1
0.024,0.99116,0.36,0
0.036,0.98975,0.43,0
0.037,0.9967,0.16,1
0.047,0.9934,0.165,0
0.035,0.9905,0.24,0
0.04,0.9922,0.29,0
0.055,0.99758,0.24,1
0.038,0.9911,0.36,0
0.039,0.99215,0.14,0
0.029,0.99092,0.22,0
0.047,0.99906,0.22,0
0.034,0.99,0.24,0
0.036,0.99362,0.3,0
0.037,0.9934,0.26,0
0.032,0.993,0.09,0
0.121,0.99508,0.17,0
0.047,0.99705,0.27,0
0.046,0.99834,0.22,0
0.038,0.99164,0.12,1
0.038,0.9975,0.19,0
0.044,0.99184,0.32,0
0.062,0.9958,0.33,1
0.031,0.9916,0.36,1
0.041,0.9928,0.34,0
0.054,1.0004,0.25,0
0.053,0.99545,0.24,1
0.023,0.9923,0.19,0
0.048,0.9915,0.23,0
0.042,0.9952,0.25,0
0.041,0.99509,0.23,0
0.047,0.99158,0.305,0
0.042,0.99522,0.28,0
0.049,0.9984,0.28,0
0.046,0.99319,0.16,0
0.039,0.99008,0.2,0
0.036,0.99406,0.25,0
0.044,0.9948,0.69,0
0.034,0.99188,0.35,0
0.117,0.99459,0.38,0
0.035,0.9928,0.2,0
0.145,0.99274,0.36,0
0.042,0.9937,0.6,1
0.044,0.9975,0.44,0
0.062,0.98974,0.32,0
0.047,0.99001,0.25,1
0.04,0.995,0.19,0
0.039,0.9979,0.28,1
0.051,0.9957,0.45,0
0.034,0.99512,0.15,0
0.036,0.99299,0.265,0
0.063,0.998,0.285,1
0.033,0.98934,0.36,0
0.068,0.99382,0.3,1
0.054,0.9964,0.19,0
0.034,0.99166,0.33,0
0.047,0.9951,0.15,0
0.034,0.9896,0.46,0
0.04,0.99332,0.21,0
0.13,0.9927,0.16,0
0.05,0.99397,0.24,1
0.031,0.9934,0.31,0
0.028,0.99156,0.16,0
0.047,0.9959,0.26,1
0.04,0.9938,0.445,1
0.029,0.9905,0.3,0
0.026,0.98963,0.28,0
0.034,0.9989,0.27,1
0.036,0.98938,0.34,0
0.046,0.9925,0.13,0
0.05,1,0.22,0
0.052,0.99546,0.26,0
0.049,0.993,0.17,0
0.026,0.9927,0.45,0
0.037,0.99268,0.32,0
0.049,0.9984,0.27,1
0.043,0.99129,0.27,0
0.044,0.9974,0.39,0
0.041,0.99092,0.17,0
0.083,0.9965,0.26,1
0.047,0.99616,0.24,1
0.065,0.99884,0.44,1
0.038,0.9949,0.2,0
0.046,0.9964,0.3,1
0.028,0.99168,0.21,0
0.047,0.9945,0.19,0
0.037,0.99076,0.23,0
0.067,0.9958,0.19,0
0.034,0.98882,0.28,0
0.052,0.99696,0.28,1
0.045,0.99064,0.25,0
0.017,0.9894,0.42,0
0.05,0.9983,0.24,0
0.035,0.99094,0.26,0
0.05,0.9966,0.14,1
0.054,0.9952,0.44,1
0.045,0.9925,0.42,0
0.045,0.98946,0.21,0
0.032,0.9922,0.43,0
0.056,0.99825,0.16,0
0.038,0.99088,0.25,0
0.044,0.9966,0.29,1
0.038,0.9912,0.3,0
0.117,0.99459,0.37,1
0.043,0.9952,0.49,1
0.053,0.9986,0.19,0
0.048,0.9942,0.25,0
0.046,0.99584,0.26,1
0.044,0.9937,0.34,1
0.05,0.99514,0.32,1
0.044,0.99855,0.22,0
0.029,0.9902,0.32,0
0.035,0.98836,0.31,0
0.043,0.9937,0.26,0
0.069,0.9928,0.21,0
0.044,0.9976,0.37,1
0.044,0.9962,0.27,1
0.052,0.9947,0.2,0
0.209,0.99478,0.29,1
0.048,0.99784,0.38,0
0.035,0.9917,0.36,0
0.045,0.9989,0.33,1
0.046,0.99526,0.2,0
0.044,0.99514,0.16,1
0.119,0.9921,0.28,0
0.027,0.99165,0.46,0
0.051,0.99036,0.21,0
0.052,0.994,0.19,1
0.024,0.99518,0.47,0
0.035,0.99478,0.21,0
0.05,0.9912,0.16,0
0.051,0.9939,0.28,1
0.034,0.99274,0.26,0
0.057,0.9999,0.24,1
0.035,0.9947,0.23,1
0.03,0.99026,0.26,0
0.038,0.9979,0.425,1
0.048,0.99456,0.33,0
0.058,0.9972,0.15,0
0.036,0.99096,0.16,0
0.035,0.9901,0.41,0
0.136,0.99336,0.38,1
0.036,0.99082,0.47,1
0.057,0.99176,0.21,1
