"chlorides","density","volatile.acidity","bad"
0.047,0.99837,0.2,0
0.142,0.9937,0.29,0
0.048,0.9929,0.15,1
0.147,0.993,0.2,0
0.031,0.99089,0.26,0
0.047,0.99542,0.27,0
0.024,0.99518,0.47,0
0.028,0.9954,0.18,0
0.037,0.9888,0.28,0
0.048,0.9951,0.33,0
0.034,0.99218,0.27,0
0.041,0.98949,0.23,0
0.042,0.99566,0.27,0
0.057,0.9949,0.58,1
0.057,0.9928,0.31,1
0.07,0.9966,0.21,1
0.038,0.99074,0.21,0
0.034,0.9972,0.26,0
0.069,0.99014,0.53,0
0.049,0.9953,0.21,0
0.041,0.9896,0.44,0
0.052,0.99865,0.23,1
0.059,0.9958,0.28,1
0.014,0.99008,0.29,0
0.037,0.99214,0.22,0
0.036,0.99373,0.14,0
0.036,0.9938,0.14,1
0.053,0.9942,0.24,0
0.039,0.9959,0.21,0
0.033,0.99205,0.28,1
0.044,0.99462,0.25,0
0.031,0.99645,0.23,1
0.049,0.99516,0.39,1
0.043,0.9904,0.51,0
0.052,0.9986,0.22,1
0.04,0.99194,0.22,0
0.028,0.991,0.08,0
0.046,0.9955,0.22,0
0.049,0.9928,0.2,0
0.054,0.99287,0.18,0
0.05,1.0001,0.22,1
0.037,0.9976,0.45,1
0.038,0.992,0.33,0
0.047,0.9917,0.36,0
0.024,0.98876,0.37,0
0.046,0.9983,0.24,0
0.053,0.99699,0.27,1
0.087,0.99438,0.3,1
0.028,0.99012,0.2,0
0.038,0.9945,0.17,0
0.039,0.9982,0.31,1
0.044,0.9919,0.32,1
0.029,0.99165,0.34,0
0.034,0.9961,0.27,1
0.018,0.9898,0.36,0
0.037,0.99592,0.33,0
0.032,0.9909,0.19,0
0.048,0.9937,0.29,0
0.036,0.9894,0.44,0
0.047,0.99527,0.33,1
0.028,0.99132,0.2,0
0.04,0.999,0.23,0
0.042,0.9978,0.28,0
0.046,0.9949,0.32,1
0.044,0.99536,0.17,0
0.026,0.993,0.55,1
0.042,0.99532,0.27,0
0.042,0.9954,0.24,0
0.037,0.9951,0.28,0
0.044,0.99655,0.25,0
0.03,0.9914,0.21,0
0.03,0.99706,0.29,1
0.036,0.99264,0.14,1
0.038,0.9917,0.33,0
0.056,0.9998,0.22,0
0.029,0.9918,0.31,1
0.04,0.9948,0.28,0
0.049,0.9963,0.25,1
0.038,0.9934,0.4,1
0.03,0.98923,0.32,1
0.038,0.9966,0.23,0
0.032,0.9889,0.3,0
0.044,0.99604,0.23,0
0.038,0.99157,0.23,0
0.055,0.99502,0.35,1
0.031,0.9918,0.2,1
0.048,0.99178,0.23,0
0.064,0.99737,0.13,0
0.023,0.98865,0.34,0
0.034,0.99188,0.35,0
0.049,0.9994,0.22,0
0.047,0.9933,0.16,0
0.033,0.9955,0.43,0
0.046,0.99494,0.34,0
0.029,0.9903,0.37,0
0.054,0.9941,0.18,0
0.046,0.99123,0.21,0
0.048,0.99472,0.23,0
0.04,0.99216,0.26,1
0.027,0.9908,0.16,0
0.172,0.9937,0.23,0
0.035,1.00022,0.22,0
0.042,0.9929,0.28,1
0.035,0.99076,0.27,0
0.042,0.99586,0.24,0
0.035,0.99358,0.24,0
0.051,0.9962,0.35,0
0.029,0.98742,0.3,0
0.051,0.9928,0.25,0
0.034,0.9933,0.3,1
0.053,0.99676,0.11,0
0.054,0.99324,0.73,1
0.03,0.9908,0.2,0
0.032,0.9916,0.44,0
0.044,0.99256,0.18,0
0.043,0.9952,0.49,1
0.03,0.9904,0.475,1
0.017,0.9929,0.17,0
0.047,0.9952,0.18,0
0.048,0.9944,0.24,0
0.037,0.99642,0.56,1
0.051,0.9925,0.165,1
0.045,0.9963,0.43,1
0.034,0.9898,0.27,0
0.052,0.9951,0.27,0
0.027,0.98945,0.32,0
0.039,0.99705,0.25,0
0.035,0.99045,0.25,0
0.038,0.99296,0.32,1
0.042,0.99492,0.19,0
0.035,0.9908,0.29,1
0.05,0.9928,0.17,0
0.042,0.99304,0.31,1
0.132,0.9934,0.28,0
0.044,0.9974,0.24,0
0.048,0.99863,0.23,0
0.064,0.9994,0.16,1
0.045,0.992,0.15,0
0.048,0.99212,0.51,1
0.054,0.9962,0.12,1
0.042,0.9924,0.35,1
0.045,0.9924,0.2,0
0.041,0.9925,0.2,0
0.036,0.9935,0.28,0
0.048,0.98953,0.21,0
0.074,0.99132,0.225,0
0.056,0.9924,0.17,0
0.045,0.99966,0.21,0
0.066,0.99362,0.22,1
0.035,0.99176,0.23,0
